Region , Glacier-covered area in 2000 (km2), area_sd , Glacier mass in 2000 (mm SLE), mass_sd , Glacier mass change rate 2000-2019 (kg m-2 yr -1) , rate_sd , RCP 2.6 , RCP 2.6 sd , RCP 4.5 , RCP 4.5 sd , RCP 8.5 , RCP 8.5 sd
Alaska (1) , 86700 , 4600, 43 , 11 , -770 , 60 , 14 , 11 , 19 , 13, 25 , 15
Western Canada and USA (2) , 14500 , 1400 , 2.6 , 0.7 , -490 , 170 , 1.5 , 0.9 , 2.0 , 0.7 , 2.2 , 0.7
Arctic Canada North (3) , 105100 , 3400 , 65 , 17 , -290 , 20, 10 , 10, 16 , 15 , 24 , 20
Arctic Canada South (4) , 40900 , 2000 , 21 , 5 , -650 , 50 , 5 , 5 , 7 , 7 , 11 , 7
Greenland Periphery (5) , 89700 , 4500 , 34 , 9 , -430 , 40 , 9 , 10, 12 , 11, 18 , 11
Iceland (6) , 11000 , 300 , 9 , 2 , -860 , 100 , 2 , 3 , 3 , 3 , 5 , 3
Svalbard (7) , 34000 , 1200 , 17 , 4 , -270 , 180 , 7 , 7 , 11 , 9 , 14 , 8
Scandinavia (8) , 2900 , 300 , 0.7 , 0.2 , -580 , 60 , 0.3 , 0.2 , 0.4 , 0.2 , 0.4 , 0.2
Russian Arctic (9) , 51600 , 1400 , 32 , 8 , -200 , 20 , 10 , 8 , 14 , 11, 20 , 12
North Asia (10) , 2400 , 200 , 0.3 , 0.1 , -500 , 70 , 0.2 , 0.2 , 0.3 , 0.2 , 0.3 , 0.2
Central Europe (11) , 2100 , 200 , 0.3 , 0.1 , -760 , 260 , 0.2 , 0.1 , 0.3 , 0.1 , 0.3 , 0.1
Caucasus and Middle East (12) , 1300 , 100, 0.2 , 0.1 , -430 , 60 , 0.1 , 0.05 , 0.11 , 0.04 , 0.13 , 0.04
High Mountain Asia (13-15) , 97600 , 7800 , 17 , 3 , -205 , 40 , 8 , 3 , 11 , 4 , 13 , 5
Low Latitudes (16) , 2300 , 200 , 0.2 , 0.1 , -450 , 60 , 0.13 , 0.12 , 0.17 , 0.12 , 0.19 , 0.11
Southern Andes (17) , 29400 , 1700 , 13 , 3 , -720 , 230 , 3 , 4 , 4 , 3 , 6 , 4
New Zealand (18) , 1200 , 100 , 0.2 , 0.1 , -720 , 110 , 0.06 , 0.06 , 0.09 , 0.05 , 0.13 , 0.04
Antarctic and Sub-Antarctic (19) , 132900 , 2500, 69 , 18 , -170 , 20 , 9 , 15 , 16 , 13 , 20 , 24
World , 705700 , 33200 , 324 , 84 , -460 , 10 , 79 , 56, 119 , 75 , 159 , 86
